fill	colour	x	y	density	group	level	piece	xmin	xmax	ymin	ymax
#FFFFFF	#FFFFFF	0.515151515151515	0.0454545454545455	6.3389063620224e-09	1	1	1	0.5	0.53030303030303	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.545454545454545	0.0454545454545455	1.49391111045225e-09	1	1	1	0.53030303030303	0.56060606060606	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.575757575757575	0.0454545454545455	2.79286035123987e-10	1	1	1	0.56060606060606	0.590909090909091	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.606060606060606	0.0454545454545455	4.15032026783813e-11	1	1	1	0.590909090909091	0.621212121212121	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.636363636363636	0.0454545454545455	5.00639182574051e-12	1	1	1	0.621212121212121	0.651515151515151	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.666666666666666	0.0454545454545455	5.63800256948259e-13	1	1	1	0.651515151515151	0.681818181818182	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.696969696969697	0.0454545454545455	7.40785219112924e-14	1	1	1	0.681818181818182	0.712121212121212	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.727272727272727	0.0454545454545455	1.04228162955657e-14	1	1	1	0.712121212121212	0.742424242424242	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.757575757575757	0.0454545454545455	1.19425450206717e-15	1	1	1	0.742424242424242	0.772727272727272	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.787878787878788	0.0454545454545455	9.84047714953429e-17	1	1	1	0.772727272727272	0.803030303030303	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.818181818181818	0.0454545454545455	8.91162756079656e-18	1	1	1	0.803030303030303	0.833333333333333	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.848484848484848	0.0454545454545455	7.26274419809143e-18	1	1	1	0.833333333333333	0.863636363636364	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.878787878787879	0.0454545454545455	9.62353719320639e-18	1	1	1	0.863636363636364	0.893939393939394	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.909090909090909	0.0454545454545455	8.84278200069213e-18	1	1	1	0.893939393939394	0.924242424242424	NA	0.061128526645768
#FFFFFF	#FFFFFF	0.939393939393939	0.0454545454545455	5.48467801500964e-18	1	1	1	0.924242424242424	0.954545454545454	NA	0.061128526645768
