fill	colour	x	y	density	group	level	piece	xmin	xmax	ymin	ymax
#FFFFFF	#FFFFFF	0.818181818181818	0.108150470219436	1.27181609597129e-21	1	1	1	0.803030303030303	0.833333333333333	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.848484848484849	0.108150470219436	1.57788920630968e-23	1	1	1	0.833333333333333	0.863636363636364	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.878787878787879	0.108150470219436	1.19095212685872e-25	1	1	1	0.863636363636364	0.893939393939394	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.909090909090909	0.108150470219436	5.46812124727154e-28	1	1	1	0.893939393939394	0.924242424242424	0.0924764890282132	0.123824451410658
#FFFFFF	#FFFFFF	0.939393939393939	0.108150470219436	1.52717504230123e-30	1	1	1	0.924242424242424	0.954545454545454	0.0924764890282132	0.123824451410658
#1A3956	#1A3956	0.0606060606060605	0.139498432601881	0.000106919542326373	1	1	1	0.0454545454545454	0.0757575757575756	0.123824451410658	0.155172413793103
#204668	#204668	0.0909090909090909	0.139498432601881	0.000190133887089836	1	1	1	0.0757575757575758	0.106060606060606	0.123824451410658	0.155172413793103
#265176	#265176	0.121212121212121	0.139498432601881	0.000254248075095292	1	1	1	0.106060606060606	0.136363636363636	0.123824451410658	0.155172413793103
#28557C	#28557C	0.151515151515151	0.139498432601881	0.000281972040520729	1	1	1	0.136363636363636	0.166666666666667	0.123824451410658	0.155172413793103
#28557B	#28557B	0.181818181818182	0.139498432601881	0.000280213911186921	1	1	1	0.166666666666667	0.196969696969697	0.123824451410658	0.155172413793103
#265075	#265075	0.212121212121212	0.139498432601881	0.000253216310824986	1	1	1	0.196969696969697	0.227272727272727	0.123824451410658	0.155172413793103
#214769	#214769	0.242424242424242	0.139498432601881	0.000196144660171501	1	1	1	0.227272727272727	0.257575757575757	0.123824451410658	0.155172413793103
#1B3B59	#1B3B59	0.272727272727273	0.139498432601881	0.000120522008202888	1	1	1	0.257575757575758	0.287878787878788	0.123824451410658	0.155172413793103
#16324C	#16324C	0.303030303030303	0.139498432601881	5.90737646549454e-05	1	1	1	0.287878787878788	0.318181818181818	0.123824451410658	0.155172413793103
#142D46	#142D46	0.333333333333333	0.139498432601881	2.68951333422652e-05	1	1	1	0.318181818181818	0.348484848484848	0.123824451410658	0.155172413793103
#132B43	#132B43	0.363636363636364	0.139498432601881	1.35675911414125e-05	1	1	1	0.348484848484849	0.378787878787879	0.123824451410658	0.155172413793103
#FFFFFF	#FFFFFF	0.393939393939394	0.139498432601881	7.38633726032275e-06	1	1	1	0.378787878787879	0.409090909090909	0.123824451410658	0.155172413793103
#FFFFFF	#FFFFFF	0.424242424242424	0.139498432601881	3.75734585289974e-06	1	1	1	0.409090909090909	0.439393939393939	0.123824451410658	0.155172413793103
